row_id,filename,class,xmin,ymin,xmax,ymax,z_true,z_pred
39,000011.txt,Pedestrian,649.28,168.1,664.61,206.4,34.08,35.15812
40,000011.txt,Car,0.0,217.12,85.92,374.0,4.13,5.682634
41,000011.txt,Pedestrian,240.35,190.31,268.02,261.61,15.95,17.207623
42,000012.txt,Car,662.2,185.85,690.21,205.03,58.84,58.46942
43,000012.txt,Van,448.07,177.14,481.6,206.41,65.02,64.36335
44,000013.txt,Car,455.7,183.86,533.81,241.91,20.13,21.60781
45,000014.txt,Car,626.59,176.07,654.95,194.24,59.81,62.508755
46,000015.txt,Car,0.0,194.7,414.71,373.0,4.1,5.830315
47,000015.txt,Pedestrian,1021.76,133.28,1101.39,316.63,7.59,7.812279
48,000015.txt,Pedestrian,672.23,171.73,690.13,224.33,24.14,25.035706
49,000015.txt,Pedestrian,692.68,169.14,712.48,224.03,24.22,24.384624
50,000015.txt,Pedestrian,537.84,168.08,560.9,224.34,23.3,24.33548
51,000016.txt,Car,661.23,174.85,694.38,197.63,44.41,50.906406
52,000016.txt,Truck,125.12,91.71,474.04,253.26,26.41,26.303066
53,000016.txt,Car,684.49,172.19,733.85,205.26,33.13,36.15047
54,000016.txt,Car,0.0,193.56,386.2,374.0,6.05,5.9093776
55,000016.txt,Car,494.45,181.84,527.48,205.27,46.74,49.75631
56,000016.txt,Tram,587.32,158.63,648.66,188.51,90.96,91.192665
57,000017.txt,Car,728.25,173.97,791.57,200.2,47.16,44.769505
58,000018.txt,Car,523.41,194.53,550.65,219.39,47.02,51.443382
59,000018.txt,Van,572.15,185.81,606.45,219.24,47.11,50.618256
60,000018.txt,Tram,387.26,166.06,473.51,213.36,59.75,62.154613
61,000019.txt,Truck,0.0,0.0,424.74,374.0,5.46,6.113307
62,000019.txt,Car,742.41,184.49,944.56,321.39,9.72,9.569557
63,000019.txt,Van,639.17,169.69,683.48,212.97,35.34,37.201527
64,000019.txt,Car,551.01,184.06,575.42,204.29,59.59,59.039852
65,000020.txt,Car,685.05,181.43,804.68,258.21,15.58,16.212624
66,000021.txt,Cyclist,1056.16,190.5,1241.0,374.0,3.14,3.2500534
67,000021.txt,Car,359.43,179.3,516.3,270.97,13.3,14.268262
68,000021.txt,Car,444.13,163.92,559.2,247.04,17.6,18.039188
69,000021.txt,Van,870.59,115.22,1101.06,213.85,21.3,24.342419
70,000021.txt,Car,724.49,171.09,790.5,215.13,25.97,27.491432
71,000021.txt,Car,534.25,166.2,596.08,216.76,26.83,27.290874
72,000021.txt,Car,709.81,162.43,765.7,205.68,32.13,31.143272
73,000021.txt,Car,562.02,166.42,605.57,206.89,31.78,32.59217
74,000022.txt,Car,128.66,199.48,218.9,237.2,31.72,33.647125
75,000022.txt,Car,60.72,198.17,159.92,238.35,31.61,31.509296
76,000023.txt,Truck,599.21,156.67,629.63,189.6,69.29,72.97638
77,000023.txt,Car,372.95,182.64,412.21,205.68,55.08,54.415997
78,000023.txt,Cyclist,677.94,164.64,690.85,195.36,44.76,45.04024
79,000024.txt,Car,517.23,162.98,564.36,196.64,36.37,37.268223
80,000024.txt,Car,443.6,168.03,480.35,195.69,38.09,41.841347
81,000024.txt,Car,427.54,165.14,455.37,185.51,52.01,54.09936
82,000025.txt,Car,896.11,218.17,1241.0,374.0,3.14,3.4801624
83,000025.txt,Car,351.84,183.19,537.77,308.64,10.42,11.294654
84,000025.txt,Car,562.48,173.46,618.49,217.36,30.18,28.336292
85,000025.txt,Car,724.21,178.91,805.39,249.94,17.48,18.38155
86,000025.txt,Cyclist,650.19,175.43,659.99,205.2,44.63,44.04624
87,000025.txt,Car,720.81,187.01,779.98,236.22,22.3,25.0953
88,000026.txt,Truck,633.9,155.08,704.57,211.64,37.22,36.984417
89,000026.txt,Car,555.45,174.38,576.17,191.19,68.34,70.79918
90,000027.txt,Van,16.35,117.65,314.78,314.78,12.9,12.395664
91,000027.txt,Car,590.88,181.6,607.07,194.48,73.46,73.81787
92,000028.txt,Pedestrian,147.29,156.22,205.29,309.43,8.51,8.9726925
93,000029.txt,Misc,490.15,174.98,542.09,227.7,23.25,24.676367
94,000029.txt,Car,652.31,174.94,690.16,204.97,41.53,39.5283
95,000030.txt,Car,559.66,178.84,588.85,204.88,41.9,47.146458
96,000031.txt,Car,334.28,180.65,490.02,297.48,12.2,12.302368
97,000031.txt,Car,785.85,179.67,1028.82,340.75,8.46,8.8146305
98,000031.txt,Car,711.98,179.65,848.82,277.62,13.14,13.425123
99,000031.txt,Truck,445.91,131.69,539.77,228.36,22.27,24.34029
100,000031.txt,Car,660.82,178.72,713.09,222.03,26.41,28.690966
101,000031.txt,Van,620.95,171.59,649.36,200.46,51.9,53.263515
102,000032.txt,Car,178.19,189.36,435.56,344.73,9.0,9.185086
103,000032.txt,Car,776.17,182.37,1014.36,335.44,8.6,9.015072
104,000032.txt,Van,340.65,150.97,489.14,274.11,14.34,15.224387
105,000032.txt,Car,711.6,180.21,863.08,273.6,13.47,13.628199
106,000032.txt,Car,709.49,176.89,777.81,234.26,19.85,22.517166
107,000032.txt,Van,119.13,141.28,368.15,230.69,22.71,25.326307
108,000032.txt,Car,725.15,164.18,806.31,219.41,25.25,23.931324
109,000032.txt,Van,611.72,163.22,643.8,197.13,44.71,50.750065
110,000032.txt,Van,780.93,147.56,917.34,199.48,39.04,41.153976
111,000032.txt,Car,494.77,173.81,531.54,199.22,44.75,46.158558
112,000033.txt,Car,582.63,175.1,601.14,189.77,64.47,70.44367
113,000033.txt,Car,0.0,189.66,234.52,322.3,10.15,10.065082
114,000034.txt,Car,46.17,196.15,328.4,286.09,14.12,13.540955
115,000034.txt,Car,466.96,184.85,522.12,207.02,49.04,53.104717
116,000035.txt,Car,587.01,173.33,614.12,200.12,46.7,48.346806
117,000035.txt,Car,425.44,176.21,529.23,259.84,16.31,16.811039
118,000035.txt,Car,234.86,185.44,320.32,231.58,27.71,28.08593
119,000035.txt,Cyclist,665.45,160.0,717.93,217.99,22.1,25.658287
120,000035.txt,Pedestrian,423.17,173.67,433.17,224.03,23.11,24.90938
121,000036.txt,Car,553.16,178.73,693.67,311.88,10.13,10.74635
122,000036.txt,Car,341.05,194.66,390.28,218.73,46.01,48.898033
123,000036.txt,Car,286.23,196.48,337.13,220.85,44.69,48.06704
124,000036.txt,Car,412.76,190.23,455.28,212.54,50.4,51.441647
125,000036.txt,Car,960.19,183.87,1104.42,229.69,26.68,25.73013
126,000036.txt,Car,1154.43,178.14,1241.0,222.29,26.55,27.505226
127,000036.txt,Car,1123.12,213.78,1241.0,374.0,4.08,2.837638
128,000037.txt,Car,555.85,173.64,628.69,240.05,19.43,20.131788
129,000037.txt,Truck,27.11,0.0,512.28,375.0,10.25,12.430998
130,000037.txt,Car,473.07,183.18,535.73,226.04,24.49,27.253994
131,000038.txt,Car,592.08,176.5,637.55,219.52,28.28,29.211506
132,000038.txt,Car,895.35,158.55,1241.0,374.0,6.69,5.182191
133,000038.txt,Car,817.68,176.9,1038.04,302.31,10.4,10.413145
134,000038.txt,Car,749.97,177.62,940.82,262.93,14.02,14.845095
135,000038.txt,Car,489.07,180.53,521.27,201.03,50.9,59.432163
136,000038.txt,Car,302.47,188.9,409.18,250.55,18.66,20.300385
137,000038.txt,Car,682.53,173.56,796.81,220.86,24.75,25.739632
138,000038.txt,Car,659.69,174.94,745.56,209.34,31.46,34.00573
139,000038.txt,Van,640.44,167.63,707.44,198.61,46.13,46.689022
140,000038.txt,Car,434.34,175.49,472.4,199.91,52.04,53.370533
141,000038.txt,Car,456.14,177.0,487.16,197.96,58.61,64.24089
142,000038.txt,Car,412.71,177.61,437.08,195.86,59.96,70.31003
143,000039.txt,Car,114.51,193.47,466.61,374.0,7.17,7.6508927
144,000039.txt,Car,683.15,184.41,776.5,256.99,16.67,17.326221
145,000039.txt,Car,533.53,177.81,574.19,212.8,33.82,35.788937
146,000039.txt,Car,653.23,180.26,702.93,220.26,29.48,30.392496
147,000039.txt,Car,561.27,178.49,585.9,201.02,48.95,56.1326
148,000039.txt,Car,639.85,175.24,667.59,200.41,49.29,47.882893
149,000040.txt,Car,474.58,179.03,516.72,210.71,35.37,38.89188
150,000040.txt,Pedestrian,691.54,168.88,700.87,198.51,42.82,45.86401
151,000041.txt,Car,439.52,178.17,508.93,205.17,41.75,44.115147
152,000042.txt,Car,576.34,174.48,604.86,202.67,44.49,46.133526
153,000042.txt,Tram,390.32,163.01,450.87,196.74,94.91,97.27809
154,000043.txt,Pedestrian,471.56,174.73,502.47,266.4,12.56,14.008446
155,000043.txt,Pedestrian,441.08,170.15,473.22,268.12,12.34,13.482983
156,000043.txt,Pedestrian,684.72,161.94,711.08,230.1,20.51,19.5658
157,000043.txt,Pedestrian,719.54,160.0,745.42,229.67,20.3,19.428467
158,000044.txt,Car,0.0,203.44,365.5,374.0,5.22,5.9038076
159,000044.txt,Car,378.01,183.98,507.17,276.44,13.93,14.312033
160,000045.txt,Car,75.43,192.52,273.65,277.52,15.21,15.043022
161,000045.txt,Tram,694.04,152.62,734.19,188.24,79.53,80.75519
162,000045.txt,Car,269.01,176.97,375.72,242.36,21.96,22.090458
163,000045.txt,Car,346.6,186.7,419.98,229.04,27.06,28.555351
164,000045.txt,Car,387.31,178.52,455.56,221.43,31.88,29.42064
165,000045.txt,Car,455.95,181.43,500.99,209.72,41.53,42.574444
166,000045.txt,Car,480.03,181.4,517.92,205.67,46.7,48.909
167,000046.txt,Car,578.47,176.02,625.98,221.24,26.76,28.401695
168,000046.txt,Car,597.59,168.75,634.85,207.61,35.33,35.42727
169,000046.txt,Car,769.21,151.69,1087.61,374.0,7.64,7.7699676
170,000046.txt,Car,706.06,174.92,807.35,254.28,15.65,16.749739
171,000046.txt,Car,660.18,171.93,703.11,210.02,32.3,33.89954
172,000046.txt,Car,646.4,174.21,684.26,204.82,38.2,39.16643
173,000047.txt,Car,572.31,171.6,624.11,218.82,26.54,27.741493
174,000047.txt,Car,0.0,190.67,171.41,313.27,10.68,10.518675
175,000047.txt,Car,214.99,165.2,423.55,292.98,12.25,12.160095
176,000047.txt,Car,296.94,182.19,393.12,231.61,23.68,24.879045
177,000047.txt,Car,428.19,180.81,498.01,226.24,25.13,26.458847
178,000047.txt,Van,481.87,153.05,537.09,207.74,36.41,40.4594
179,000047.txt,Car,522.27,176.55,552.71,202.38,47.7,47.66679
180,000047.txt,Car,0.0,185.88,180.39,253.13,17.75,18.655193
181,000047.txt,Car,193.59,181.29,294.71,229.39,25.9,26.596014
182,000048.txt,Pedestrian,659.64,160.9,687.89,236.97,16.82,17.60197
183,000048.txt,Pedestrian,680.59,157.38,711.83,236.18,17.03,17.37525
184,000048.txt,Pedestrian,453.2,159.81,482.53,241.31,16.26,16.293346
185,000048.txt,Cyclist,600.22,162.56,622.05,206.65,30.42,32.02515
186,000049.txt,Car,595.5,177.15,657.31,227.34,21.55,24.211575
187,000049.txt,Car,305.23,179.59,494.97,263.68,13.75,15.821489
188,000049.txt,Car,410.09,176.18,514.77,228.78,21.82,24.904303
189,000049.txt,Car,435.96,173.6,537.84,218.33,24.83,30.581621
190,000049.txt,Car,473.64,171.53,556.16,203.86,32.49,36.810417
191,000049.txt,Van,515.19,156.84,585.71,193.55,45.7,45.237705
192,000049.txt,Pedestrian,984.43,188.05,1128.77,374.0,4.71,5.217565
193,000049.txt,Car,823.97,189.33,1083.14,327.79,9.53,8.082694
194,000049.txt,Car,753.34,185.35,885.42,263.59,14.89,15.5689745
195,000049.txt,Car,719.83,169.31,816.44,238.11,20.2,19.494514
196,000049.txt,Pedestrian,693.57,173.32,709.9,209.83,32.55,34.67794
197,000049.txt,Car,776.77,170.97,882.28,211.7,31.83,30.745037
198,000049.txt,Car,0.0,178.64,252.92,280.6,12.04,12.807489
199,000049.txt,Car,194.14,174.89,341.99,241.74,17.23,19.574638
200,000049.txt,Car,603.49,171.71,639.3,204.36,35.67,37.433018
201,000049.txt,Car,287.85,175.62,379.41,228.84,21.69,25.582445
202,000049.txt,Van,881.73,155.07,1040.99,215.24,32.04,33.34129
203,000049.txt,Car,0.0,170.48,111.64,240.66,17.43,20.61549
204,000050.txt,Car,683.34,170.98,803.44,257.43,14.75,15.845793
205,000050.txt,Car,262.97,182.23,469.76,318.0,9.79,10.780851
206,000050.txt,Car,910.25,159.81,1241.0,374.0,2.39,5.094725
207,000050.txt,Car,641.55,172.79,681.44,206.29,31.72,36.863224
208,000050.txt,Van,683.63,153.82,724.01,183.67,65.64,68.883354
209,000051.txt,Cyclist,919.02,155.73,967.93,230.96,17.38,17.916348
210,000051.txt,Car,713.9,174.69,744.43,204.49,39.76,42.355923
211,000052.txt,Car,710.82,180.57,802.89,243.25,19.62,19.528845
212,000052.txt,Car,624.74,177.5,695.15,239.15,21.12,20.842613
213,000052.txt,Car,309.83,179.79,406.67,219.91,32.97,30.857445
214,000052.txt,Car,40.56,187.32,73.97,212.48,54.19,51.30084
215,000052.txt,Van,383.87,166.42,639.19,310.56,12.06,11.149391
216,000052.txt,Car,245.86,199.03,378.43,265.35,17.46,18.42751
217,000053.txt,Van,865.23,0.0,1241.0,374.0,2.98,5.147035
218,000053.txt,Car,173.62,180.91,429.48,359.85,8.15,8.659427
219,000053.txt,Car,707.54,185.88,834.49,271.76,14.21,14.681886
220,000053.txt,Car,444.83,180.67,519.74,231.01,20.88,24.262178
221,000053.txt,Car,499.17,171.42,546.19,212.24,28.91,34.27846
222,000053.txt,Car,653.39,176.6,706.53,216.76,29.57,29.977898
223,000053.txt,Car,526.94,173.21,563.54,203.04,38.08,41.367462
224,000054.txt,Pedestrian,768.22,141.35,840.18,316.18,7.8,8.107834
225,000055.txt,Truck,569.25,125.75,642.77,214.8,34.15,34.878426
226,000055.txt,Car,31.61,193.32,129.71,230.77,32.12,33.41434
227,000055.txt,Car,104.42,188.01,188.34,220.56,36.62,36.63455
228,000055.txt,Car,183.23,187.33,245.86,217.54,42.56,42.461548
229,000055.txt,Car,227.36,189.17,281.98,211.96,47.64,51.370434
230,000056.txt,Car,540.1,181.59,571.5,205.22,48.54,48.27882
231,000057.txt,Car,0.0,224.48,199.8,374.0,1.74,4.809621
232,000057.txt,Car,514.51,193.66,563.52,231.99,30.55,30.989925
233,000057.txt,Car,572.56,176.77,591.32,196.26,76.01,72.77415
234,000058.txt,Pedestrian,410.27,163.81,498.68,327.03,7.29,8.263991
235,000059.txt,Car,558.06,180.83,599.17,213.45,30.01,35.370636
236,000059.txt,Car,509.12,180.43,543.44,205.58,41.7,46.173656
237,000059.txt,Car,969.34,195.19,1100.37,246.63,21.41,22.870905
238,000059.txt,Car,1129.34,194.18,1241.0,249.48,23.51,22.484072
239,000059.txt,Van,567.14,164.1,590.87,195.65,54.6,58.40553
240,000060.txt,Van,519.66,162.08,545.51,194.8,66.59,72.30521
241,000060.txt,Car,550.84,173.54,614.08,236.57,21.02,21.834408
242,000060.txt,Car,305.57,177.91,341.6,196.33,59.83,60.23173
243,000060.txt,Cyclist,789.79,178.79,805.04,211.66,36.96,37.930904
244,000061.txt,Van,1054.28,105.67,1241.0,249.94,15.23,15.480957
245,000061.txt,Car,0.0,212.28,41.28,328.12,10.93,8.789194
246,000061.txt,Car,69.7,217.73,112.22,254.15,33.21,34.8204
247,000061.txt,Car,0.0,218.4,93.89,297.9,16.63,16.259388
248,000061.txt,Misc,879.45,149.53,932.13,173.41,34.42,34.88947
249,000061.txt,Van,884.04,123.51,923.63,169.76,40.44,40.870068
250,000062.txt,Car,409.55,177.73,520.82,250.74,19.65,17.876816
251,000062.txt,Car,502.22,185.85,574.38,229.91,27.12,26.415253
252,000062.txt,Car,602.85,184.1,638.97,209.35,43.31,46.68767
253,000062.txt,Car,677.29,181.51,704.82,198.0,66.05,68.50915
254,000062.txt,Cyclist,692.58,175.37,717.5,229.83,24.54,24.166134
255,000063.txt,Car,875.15,185.26,975.98,253.98,18.74,17.891003
256,000063.txt,Car,287.03,172.92,514.8,285.76,11.32,12.479161
257,000063.txt,Pedestrian,411.42,172.4,454.91,296.52,10.12,10.354145
258,000063.txt,Van,842.29,169.2,890.46,215.29,34.75,34.83643
259,000064.txt,Car,657.65,179.93,709.86,219.92,26.82,29.877293
260,000064.txt,Car,731.51,180.39,882.28,275.8,13.46,13.450335
261,000064.txt,Car,715.18,175.63,762.77,203.9,39.17,41.313854
262,000064.txt,Truck,816.58,59.74,1112.51,266.07,16.44,18.786331
263,000065.txt,Pedestrian,602.33,172.98,626.06,220.54,25.06,27.536587
264,000065.txt,Tram,301.17,131.62,451.59,213.2,34.93,35.03452
265,000065.txt,Tram,444.01,132.15,516.75,207.36,36.72,37.023983
266,000065.txt,Tram,505.05,128.5,738.57,201.9,39.56,42.477497
267,000065.txt,Person_sitting,982.81,215.76,1140.08,373.0,5.52,4.809239
268,000065.txt,Person_sitting,920.27,205.21,1000.88,352.07,6.83,7.0787005
269,000065.txt,Person_sitting,763.61,198.98,823.39,287.61,10.6,10.633259
270,000065.txt,Person_sitting,800.11,197.33,863.04,285.9,10.59,10.817078
271,000065.txt,Person_sitting,738.19,201.8,796.13,277.35,11.69,11.879383
272,000066.txt,Car,671.48,168.74,710.12,206.53,31.58,35.884167
273,000066.txt,Car,591.73,172.89,633.98,199.59,40.99,43.75985
274,000067.txt,Car,671.83,174.3,702.61,195.46,47.66,53.912437
275,000067.txt,Truck,0.0,73.11,444.03,270.73,23.13,23.226505
276,000067.txt,Car,704.82,171.69,744.06,200.12,38.29,42.689346
277,000067.txt,Car,427.15,179.96,600.34,281.01,12.32,13.275144
278,000067.txt,Car,76.38,181.99,384.72,306.19,11.21,10.755739
279,000067.txt,Car,478.81,182.19,515.67,207.52,43.4,46.280956
280,000067.txt,Tram,591.57,158.36,651.13,188.67,89.8,89.538574
281,000068.txt,Car,69.26,200.28,435.08,374.0,6.98,7.75472
282,000068.txt,Car,0.0,209.2,198.59,374.0,6.22,5.8967443
283,000068.txt,Cyclist,1210.28,199.77,1241.0,374.0,3.57,1.8060508
284,000068.txt,Car,478.18,187.68,549.54,249.43,20.96,21.07547
285,000068.txt,Car,530.03,187.79,573.1,226.09,31.5,32.31281
286,000068.txt,Van,547.61,171.12,584.05,212.41,46.44,47.31484
287,000068.txt,Car,667.74,182.35,790.82,230.38,25.95,25.35204
288,000068.txt,Car,657.37,184.48,763.34,221.64,32.0,32.00531
289,000068.txt,Car,637.45,180.34,714.44,212.34,39.79,38.47117
290,000068.txt,Van,572.52,175.02,596.26,199.95,65.43,66.77602
291,000068.txt,Van,380.78,167.69,523.29,288.56,14.05,13.83316
292,000068.txt,Cyclist,958.95,167.55,1036.88,254.43,14.95,15.062142
293,000069.txt,Car,130.0,186.92,355.47,257.87,16.53,16.848188
294,000069.txt,Car,501.21,177.91,556.47,194.32,62.51,65.93729
295,000070.txt,Pedestrian,531.11,146.5,631.01,350.0,6.89,7.076017
296,000071.txt,Car,596.84,174.1,664.34,239.31,19.58,20.61834
297,000071.txt,Tram,701.49,149.63,725.74,184.45,83.1,83.901505
298,000072.txt,Car,0.0,178.54,117.72,228.38,25.33,25.164322
299,000072.txt,Car,290.87,187.34,464.1,288.52,12.67,12.724136
300,000072.txt,Car,590.87,174.23,629.98,213.19,32.6,33.487614
301,000073.txt,Pedestrian,237.23,173.7,312.33,365.33,6.32,6.8537855
302,000073.txt,Pedestrian,189.46,158.23,256.19,356.44,6.54,7.094752
303,000073.txt,Pedestrian,752.95,164.08,791.19,288.78,10.51,10.28192
304,000073.txt,Cyclist,444.66,170.48,485.7,241.86,17.61,19.217459
305,000073.txt,Cyclist,494.34,168.08,517.01,223.73,24.31,24.38721
306,000073.txt,Pedestrian,546.73,177.07,560.52,214.88,29.83,34.399937
307,000073.txt,Pedestrian,535.68,174.41,549.63,214.38,29.55,33.056393
308,000074.txt,Pedestrian,688.53,124.64,780.2,363.93,6.19,5.8637757
309,000074.txt,Pedestrian,778.38,149.08,861.05,355.71,6.18,6.8276563
310,000074.txt,Pedestrian,935.8,155.14,1006.47,306.09,7.84,8.579397
311,000075.txt,Car,0.0,137.74,159.41,374.0,1.36,5.1029315
312,000075.txt,Misc,52.22,248.78,401.51,374.0,6.83,6.2436233
313,000075.txt,Car,452.53,186.98,572.26,264.03,16.67,16.174896
314,000075.txt,Car,540.75,182.52,621.76,237.57,22.81,21.63748
315,000075.txt,Car,611.24,182.17,671.77,222.71,28.33,29.464478
316,000075.txt,Car,804.21,165.36,846.44,190.26,53.73,53.913403
317,000076.txt,Pedestrian,90.64,186.57,329.47,373.0,4.83,6.738482
318,000076.txt,Pedestrian,964.98,157.64,1023.92,289.42,9.12,9.667222
319,000076.txt,Pedestrian,236.84,169.82,288.56,339.57,7.41,7.8857193
320,000076.txt,Cyclist,413.06,169.47,489.86,291.05,10.79,11.468702
321,000076.txt,Pedestrian,811.24,152.52,841.74,249.83,13.53,13.737343
322,000076.txt,Pedestrian,583.85,164.01,608.02,237.87,17.75,18.106983
323,000076.txt,Pedestrian,524.52,165.79,549.51,230.67,19.66,20.811756
324,000076.txt,Pedestrian,560.09,165.43,577.09,224.39,22.65,23.396236
325,000076.txt,Pedestrian,708.67,157.73,729.27,222.05,21.58,21.154274
326,000077.txt,Car,574.29,179.23,616.86,208.22,39.62,41.310165
327,000078.txt,Van,0.0,142.54,336.56,374.0,5.77,7.0457225
328,000078.txt,Car,222.78,166.78,454.29,308.44,10.96,11.017492
329,000078.txt,Car,658.66,166.95,697.19,201.46,34.46,37.885895
330,000078.txt,Car,615.97,168.04,651.65,189.21,51.25,57.8206
331,000079.txt,Car,669.49,174.52,700.47,196.1,46.78,52.719433
332,000079.txt,Truck,22.54,78.5,452.12,265.67,23.95,25.143509
333,000079.txt,Car,701.01,171.82,742.42,201.29,36.99,40.760525
334,000079.txt,Car,357.22,182.05,567.87,301.78,10.74,11.507442
335,000079.txt,Car,0.0,183.03,326.6,330.77,9.82,8.862946
336,000079.txt,Car,483.32,182.25,518.76,207.09,44.23,47.135487
337,000079.txt,Tram,590.5,158.43,650.51,188.63,90.09,90.057396
338,000080.txt,Car,457.71,176.44,528.64,229.39,23.79,24.496243
339,000080.txt,Car,536.11,176.89,565.32,202.72,44.92,48.181347
340,000080.txt,Car,559.75,176.02,578.82,192.14,68.42,74.88572
341,000080.txt,Car,589.68,172.46,633.43,216.04,29.39,30.234303
342,000081.txt,Car,563.24,175.63,581.9,191.81,76.47,75.282585
343,000081.txt,Truck,593.82,162.45,621.39,192.31,75.8,76.77855
344,000081.txt,Tram,0.0,70.22,363.5,303.39,15.22,16.209375
345,000081.txt,Tram,281.85,129.69,447.74,225.59,30.47,29.678474
346,000082.txt,Car,708.08,167.9,728.44,184.46,63.93,70.09127
347,000082.txt,Truck,0.0,105.16,200.39,239.16,20.34,21.91335
348,000083.txt,Car,0.0,202.73,361.84,373.0,3.15,5.9812593
349,000083.txt,Car,368.92,183.19,504.02,279.22,12.45,13.924469
350,000083.txt,Car,587.82,169.53,643.17,220.02,24.12,26.396742
351,000083.txt,Car,519.33,170.45,571.86,215.65,26.91,29.240562
352,000083.txt,Van,101.79,160.13,334.71,287.06,12.43,13.568274
353,000083.txt,Car,463.38,174.76,511.89,205.66,35.5,38.540092
354,000084.txt,Car,459.33,179.71,505.68,227.3,27.84,27.328484
355,000084.txt,Car,448.2,181.65,486.43,208.6,42.1,44.597607
356,000085.txt,Van,0.0,57.67,245.43,374.0,5.45,4.665028
357,000085.txt,Cyclist,678.16,164.16,705.93,243.78,17.42,17.838875
358,000085.txt,Pedestrian,304.95,177.99,359.91,304.07,9.37,9.916315
359,000085.txt,Car,0.0,179.86,156.79,244.69,17.05,20.031872
360,000086.txt,Car,0.0,167.86,85.41,374.0,4.88,5.602427
361,000086.txt,Car,0.0,198.47,233.64,362.17,7.11,7.346462
362,000086.txt,Car,357.4,177.28,507.68,223.54,23.08,24.831568
363,000086.txt,Car,687.56,171.57,861.8,232.21,18.97,20.187973
364,000086.txt,Car,670.92,163.04,823.26,222.96,22.35,21.621391
365,000086.txt,Car,418.36,175.37,519.34,208.94,33.25,34.924107
366,000086.txt,Car,451.01,175.35,533.89,202.01,39.44,44.004704
367,000087.txt,Car,23.14,183.9,225.74,258.36,16.52,17.360945
368,000087.txt,Car,694.9,174.26,735.64,207.53,33.48,36.635178
369,000087.txt,Car,797.32,169.25,844.72,185.72,64.7,65.41654
370,000087.txt,Pedestrian,560.17,171.53,569.17,196.85,49.54,52.450085
371,000087.txt,Car,886.07,166.52,939.02,185.61,62.79,63.96124
372,000087.txt,Van,1053.43,158.28,1115.7,181.41,59.48,59.49073
373,000088.txt,Car,175.86,191.58,373.02,247.37,19.19,20.359512
374,000089.txt,Car,317.74,196.5,504.71,314.03,10.91,11.319277
375,000089.txt,Van,744.33,0.0,1241.0,374.0,6.92,8.820562
376,000089.txt,Car,657.48,176.96,720.62,224.75,24.94,25.696783
