filename,class,xmin,ymin,xmax,ymax,z_true
000047.txt,Van,481.87,153.05,537.09,207.74,36.41
000047.txt,Car,522.27,176.55,552.71,202.38,47.7
000047.txt,Car,0.0,185.88,180.39,253.13,17.75
000047.txt,Car,193.59,181.29,294.71,229.39,25.9
000048.txt,Pedestrian,659.64,160.9,687.89,236.97,16.82
000048.txt,Pedestrian,680.59,157.38,711.83,236.18,17.03
000048.txt,Pedestrian,453.2,159.81,482.53,241.31,16.26
000048.txt,Cyclist,600.22,162.56,622.05,206.65,30.42
000049.txt,Car,595.5,177.15,657.31,227.34,21.55
000049.txt,Car,305.23,179.59,494.97,263.68,13.75
000049.txt,Car,410.09,176.18,514.77,228.78,21.82
000049.txt,Car,435.96,173.6,537.84,218.33,24.83
000049.txt,Car,473.64,171.53,556.16,203.86,32.49
000049.txt,Van,515.19,156.84,585.71,193.55,45.7
000049.txt,Pedestrian,984.43,188.05,1128.77,374.0,4.71
000049.txt,Car,823.97,189.33,1083.14,327.79,9.53
000049.txt,Car,753.34,185.35,885.42,263.59,14.89
000049.txt,Car,719.83,169.31,816.44,238.11,20.2
000049.txt,Pedestrian,693.57,173.32,709.9,209.83,32.55
000049.txt,Car,776.77,170.97,882.28,211.7,31.83
000049.txt,Car,0.0,178.64,252.92,280.6,12.04
000049.txt,Car,194.14,174.89,341.99,241.74,17.23
000049.txt,Car,603.49,171.71,639.3,204.36,35.67
000049.txt,Car,287.85,175.62,379.41,228.84,21.69
000049.txt,Van,881.73,155.07,1040.99,215.24,32.04
000049.txt,Car,0.0,170.48,111.64,240.66,17.43
000050.txt,Car,683.34,170.98,803.44,257.43,14.75
000050.txt,Car,262.97,182.23,469.76,318.0,9.79
000050.txt,Car,910.25,159.81,1241.0,374.0,2.39
000050.txt,Car,641.55,172.79,681.44,206.29,31.72
000050.txt,Van,683.63,153.82,724.01,183.67,65.64
000051.txt,Cyclist,919.02,155.73,967.93,230.96,17.38
000051.txt,Car,713.9,174.69,744.43,204.49,39.76
000052.txt,Car,710.82,180.57,802.89,243.25,19.62
000052.txt,Car,624.74,177.5,695.15,239.15,21.12
000052.txt,Car,309.83,179.79,406.67,219.91,32.97
000052.txt,Car,40.56,187.32,73.97,212.48,54.19
000052.txt,Van,383.87,166.42,639.19,310.56,12.06
000052.txt,Car,245.86,199.03,378.43,265.35,17.46
000053.txt,Van,865.23,0.0,1241.0,374.0,2.98
000053.txt,Car,173.62,180.91,429.48,359.85,8.15
000053.txt,Car,707.54,185.88,834.49,271.76,14.21
000053.txt,Car,444.83,180.67,519.74,231.01,20.88
000053.txt,Car,499.17,171.42,546.19,212.24,28.91
000053.txt,Car,653.39,176.6,706.53,216.76,29.57
000053.txt,Car,526.94,173.21,563.54,203.04,38.08
000054.txt,Pedestrian,768.22,141.35,840.18,316.18,7.8
000055.txt,Truck,569.25,125.75,642.77,214.8,34.15
000055.txt,Car,31.61,193.32,129.71,230.77,32.12
000055.txt,Car,104.42,188.01,188.34,220.56,36.62
000055.txt,Car,183.23,187.33,245.86,217.54,42.56
000055.txt,Car,227.36,189.17,281.98,211.96,47.64
000056.txt,Car,540.1,181.59,571.5,205.22,48.54
000057.txt,Car,0.0,224.48,199.8,374.0,1.74
000057.txt,Car,514.51,193.66,563.52,231.99,30.55
000057.txt,Car,572.56,176.77,591.32,196.26,76.01
000058.txt,Pedestrian,410.27,163.81,498.68,327.03,7.29
000059.txt,Car,558.06,180.83,599.17,213.45,30.01
000059.txt,Car,509.12,180.43,543.44,205.58,41.7
000059.txt,Car,969.34,195.19,1100.37,246.63,21.41
000059.txt,Car,1129.34,194.18,1241.0,249.48,23.51
000059.txt,Van,567.14,164.1,590.87,195.65,54.6
000060.txt,Van,519.66,162.08,545.51,194.8,66.59
000060.txt,Car,550.84,173.54,614.08,236.57,21.02
000060.txt,Car,305.57,177.91,341.6,196.33,59.83
000060.txt,Cyclist,789.79,178.79,805.04,211.66,36.96
000061.txt,Van,1054.28,105.67,1241.0,249.94,15.23
000061.txt,Car,0.0,212.28,41.28,328.12,10.93
000061.txt,Car,69.7,217.73,112.22,254.15,33.21
000061.txt,Car,0.0,218.4,93.89,297.9,16.63
000061.txt,Misc,879.45,149.53,932.13,173.41,34.42
000061.txt,Van,884.04,123.51,923.63,169.76,40.44
000062.txt,Car,409.55,177.73,520.82,250.74,19.65
000062.txt,Car,502.22,185.85,574.38,229.91,27.12
000062.txt,Car,602.85,184.1,638.97,209.35,43.31
000062.txt,Car,677.29,181.51,704.82,198.0,66.05
000062.txt,Cyclist,692.58,175.37,717.5,229.83,24.54
000063.txt,Car,875.15,185.26,975.98,253.98,18.74
000063.txt,Car,287.03,172.92,514.8,285.76,11.32
000063.txt,Pedestrian,411.42,172.4,454.91,296.52,10.12
000063.txt,Van,842.29,169.2,890.46,215.29,34.75
000064.txt,Car,657.65,179.93,709.86,219.92,26.82
000064.txt,Car,731.51,180.39,882.28,275.8,13.46
000064.txt,Car,715.18,175.63,762.77,203.9,39.17
000064.txt,Truck,816.58,59.74,1112.51,266.07,16.44
000065.txt,Pedestrian,602.33,172.98,626.06,220.54,25.06
000065.txt,Tram,301.17,131.62,451.59,213.2,34.93
000065.txt,Tram,444.01,132.15,516.75,207.36,36.72
000065.txt,Tram,505.05,128.5,738.57,201.9,39.56
000065.txt,Person_sitting,982.81,215.76,1140.08,373.0,5.52
000065.txt,Person_sitting,920.27,205.21,1000.88,352.07,6.83
000065.txt,Person_sitting,763.61,198.98,823.39,287.61,10.6
000065.txt,Person_sitting,800.11,197.33,863.04,285.9,10.59
000065.txt,Person_sitting,738.19,201.8,796.13,277.35,11.69
000066.txt,Car,671.48,168.74,710.12,206.53,31.58
000066.txt,Car,591.73,172.89,633.98,199.59,40.99
000067.txt,Car,671.83,174.3,702.61,195.46,47.66
000067.txt,Truck,0.0,73.11,444.03,270.73,23.13
000067.txt,Car,704.82,171.69,744.06,200.12,38.29
000067.txt,Car,427.15,179.96,600.34,281.01,12.32
000067.txt,Car,76.38,181.99,384.72,306.19,11.21
000067.txt,Car,478.81,182.19,515.67,207.52,43.4
000067.txt,Tram,591.57,158.36,651.13,188.67,89.8
000068.txt,Car,69.26,200.28,435.08,374.0,6.98
000068.txt,Car,0.0,209.2,198.59,374.0,6.22
000068.txt,Cyclist,1210.28,199.77,1241.0,374.0,3.57
000068.txt,Car,478.18,187.68,549.54,249.43,20.96
000068.txt,Car,530.03,187.79,573.1,226.09,31.5
000068.txt,Van,547.61,171.12,584.05,212.41,46.44
000068.txt,Car,667.74,182.35,790.82,230.38,25.95
000068.txt,Car,657.37,184.48,763.34,221.64,32.0
000068.txt,Car,637.45,180.34,714.44,212.34,39.79
000068.txt,Van,572.52,175.02,596.26,199.95,65.43
000068.txt,Van,380.78,167.69,523.29,288.56,14.05
000068.txt,Cyclist,958.95,167.55,1036.88,254.43,14.95
000069.txt,Car,130.0,186.92,355.47,257.87,16.53
000069.txt,Car,501.21,177.91,556.47,194.32,62.51
000070.txt,Pedestrian,531.11,146.5,631.01,350.0,6.89
000071.txt,Car,596.84,174.1,664.34,239.31,19.58
000071.txt,Tram,701.49,149.63,725.74,184.45,83.1
000072.txt,Car,0.0,178.54,117.72,228.38,25.33
000072.txt,Car,290.87,187.34,464.1,288.52,12.67
000072.txt,Car,590.87,174.23,629.98,213.19,32.6
000073.txt,Pedestrian,237.23,173.7,312.33,365.33,6.32
000073.txt,Pedestrian,189.46,158.23,256.19,356.44,6.54
000073.txt,Pedestrian,752.95,164.08,791.19,288.78,10.51
000073.txt,Cyclist,444.66,170.48,485.7,241.86,17.61
000073.txt,Cyclist,494.34,168.08,517.01,223.73,24.31
000073.txt,Pedestrian,546.73,177.07,560.52,214.88,29.83
000073.txt,Pedestrian,535.68,174.41,549.63,214.38,29.55
000074.txt,Pedestrian,688.53,124.64,780.2,363.93,6.19
000074.txt,Pedestrian,778.38,149.08,861.05,355.71,6.18
000074.txt,Pedestrian,935.8,155.14,1006.47,306.09,7.84
000075.txt,Car,0.0,137.74,159.41,374.0,1.36
000075.txt,Misc,52.22,248.78,401.51,374.0,6.83
000075.txt,Car,452.53,186.98,572.26,264.03,16.67
000075.txt,Car,540.75,182.52,621.76,237.57,22.81
000075.txt,Car,611.24,182.17,671.77,222.71,28.33
000075.txt,Car,804.21,165.36,846.44,190.26,53.73
000076.txt,Pedestrian,90.64,186.57,329.47,373.0,4.83
000076.txt,Pedestrian,964.98,157.64,1023.92,289.42,9.12
000076.txt,Pedestrian,236.84,169.82,288.56,339.57,7.41
000076.txt,Cyclist,413.06,169.47,489.86,291.05,10.79
000076.txt,Pedestrian,811.24,152.52,841.74,249.83,13.53
000076.txt,Pedestrian,583.85,164.01,608.02,237.87,17.75
000076.txt,Pedestrian,524.52,165.79,549.51,230.67,19.66
000076.txt,Pedestrian,560.09,165.43,577.09,224.39,22.65
000076.txt,Pedestrian,708.67,157.73,729.27,222.05,21.58
000077.txt,Car,574.29,179.23,616.86,208.22,39.62
000078.txt,Van,0.0,142.54,336.56,374.0,5.77
000078.txt,Car,222.78,166.78,454.29,308.44,10.96
000078.txt,Car,658.66,166.95,697.19,201.46,34.46
000078.txt,Car,615.97,168.04,651.65,189.21,51.25
000079.txt,Car,669.49,174.52,700.47,196.1,46.78
000079.txt,Truck,22.54,78.5,452.12,265.67,23.95
000079.txt,Car,701.01,171.82,742.42,201.29,36.99
000079.txt,Car,357.22,182.05,567.87,301.78,10.74
000079.txt,Car,0.0,183.03,326.6,330.77,9.82
000079.txt,Car,483.32,182.25,518.76,207.09,44.23
000079.txt,Tram,590.5,158.43,650.51,188.63,90.09
000080.txt,Car,457.71,176.44,528.64,229.39,23.79
000080.txt,Car,536.11,176.89,565.32,202.72,44.92
000080.txt,Car,559.75,176.02,578.82,192.14,68.42
000080.txt,Car,589.68,172.46,633.43,216.04,29.39
000081.txt,Car,563.24,175.63,581.9,191.81,76.47
000081.txt,Truck,593.82,162.45,621.39,192.31,75.8
000081.txt,Tram,0.0,70.22,363.5,303.39,15.22
000081.txt,Tram,281.85,129.69,447.74,225.59,30.47
000082.txt,Car,708.08,167.9,728.44,184.46,63.93
000082.txt,Truck,0.0,105.16,200.39,239.16,20.34
000083.txt,Car,0.0,202.73,361.84,373.0,3.15
000083.txt,Car,368.92,183.19,504.02,279.22,12.45
000083.txt,Car,587.82,169.53,643.17,220.02,24.12
000083.txt,Car,519.33,170.45,571.86,215.65,26.91
000083.txt,Van,101.79,160.13,334.71,287.06,12.43
000083.txt,Car,463.38,174.76,511.89,205.66,35.5
000084.txt,Car,459.33,179.71,505.68,227.3,27.84
000084.txt,Car,448.2,181.65,486.43,208.6,42.1
000085.txt,Van,0.0,57.67,245.43,374.0,5.45
000085.txt,Cyclist,678.16,164.16,705.93,243.78,17.42
000085.txt,Pedestrian,304.95,177.99,359.91,304.07,9.37
000085.txt,Car,0.0,179.86,156.79,244.69,17.05
000086.txt,Car,0.0,167.86,85.41,374.0,4.88
000086.txt,Car,0.0,198.47,233.64,362.17,7.11
000086.txt,Car,357.4,177.28,507.68,223.54,23.08
000086.txt,Car,687.56,171.57,861.8,232.21,18.97
000086.txt,Car,670.92,163.04,823.26,222.96,22.35
000086.txt,Car,418.36,175.37,519.34,208.94,33.25
000086.txt,Car,451.01,175.35,533.89,202.01,39.44
000087.txt,Car,23.14,183.9,225.74,258.36,16.52
000087.txt,Car,694.9,174.26,735.64,207.53,33.48
000087.txt,Car,797.32,169.25,844.72,185.72,64.7
000087.txt,Pedestrian,560.17,171.53,569.17,196.85,49.54
000087.txt,Car,886.07,166.52,939.02,185.61,62.79
000087.txt,Van,1053.43,158.28,1115.7,181.41,59.48
000088.txt,Car,175.86,191.58,373.02,247.37,19.19
000089.txt,Car,317.74,196.5,504.71,314.03,10.91
000089.txt,Van,744.33,0.0,1241.0,374.0,6.92
000089.txt,Car,657.48,176.96,720.62,224.75,24.94
000089.txt,Car,458.28,184.16,538.75,243.43,19.85
000089.txt,Car,704.25,177.37,853.41,287.79,12.49
000089.txt,Car,635.02,178.02,665.21,203.12,41.73
000090.txt,Car,5.08,199.56,126.68,269.46,18.74
000091.txt,Cyclist,902.74,156.63,947.4,228.32,18.2
000091.txt,Car,709.26,175.05,738.72,203.83,41.1
000092.txt,Car,654.0,176.92,688.53,201.62,47.24
000092.txt,Car,359.95,187.35,456.4,240.78,23.56
000092.txt,Car,420.42,175.29,496.16,228.83,28.17
000092.txt,Car,686.98,173.04,733.38,211.64,31.81
000092.txt,Car,692.44,163.91,724.72,207.04,36.49
000092.txt,Car,1182.15,149.81,1241.0,197.3,21.78
000093.txt,Car,0.0,187.51,326.99,374.0,7.29
000093.txt,Car,722.86,168.15,812.89,237.29,21.21
000093.txt,Car,246.99,194.92,425.43,297.77,12.2
000093.txt,Car,359.29,185.63,479.38,258.98,16.8
000093.txt,Car,550.61,176.8,587.13,202.37,43.68
000093.txt,Car,605.74,174.87,626.16,190.29,70.35
000094.txt,Car,660.56,189.93,747.57,252.98,19.16
000095.txt,Car,599.12,182.07,667.54,247.13,19.42
000095.txt,Car,774.94,172.0,963.28,270.83,13.24
000095.txt,Car,705.57,179.11,802.71,228.95,24.11
000095.txt,Car,673.38,181.32,757.07,216.77,30.76
000095.txt,Car,146.16,192.89,340.09,290.07,14.01
000095.txt,Car,452.35,183.18,509.3,222.21,31.97
000095.txt,Car,527.28,181.12,563.95,206.6,48.2
000095.txt,Car,241.74,191.35,355.4,242.41,24.07
000095.txt,Car,327.5,181.26,399.59,228.12,30.22
000095.txt,Car,581.09,180.64,609.45,196.67,68.44
000095.txt,Car,410.89,183.43,465.31,213.35,40.62
000095.txt,Car,486.69,184.25,533.31,204.92,53.34
000095.txt,Car,71.71,187.44,194.72,239.44,22.53
000095.txt,Car,87.38,185.27,204.23,220.99,32.94
000095.txt,Car,648.79,178.98,673.89,194.56,72.27
000096.txt,Car,783.79,184.68,1176.76,339.87,7.94
000096.txt,Car,661.39,160.21,1003.28,300.49,10.63
000096.txt,Van,279.93,178.16,368.23,242.44,22.64
000096.txt,Car,505.85,185.26,557.04,219.6,31.97
000096.txt,Car,639.45,187.58,879.59,275.73,13.09
000097.txt,Car,536.07,176.04,569.72,194.78,58.47
000097.txt,Car,717.03,174.45,738.76,193.71,56.31
000098.txt,Car,659.2,182.25,722.84,240.36,22.05
000098.txt,Misc,0.0,0.0,222.29,375.0,1.77
000098.txt,Car,207.55,189.19,361.39,280.67,14.7
000098.txt,Car,345.19,190.11,424.96,240.49,22.64
000098.txt,Misc,414.69,131.6,493.19,217.99,38.97
000098.txt,Car,744.38,186.34,780.79,207.95,49.41
000098.txt,Car,824.37,183.27,852.3,198.54,69.99
000099.txt,Car,0.0,192.19,334.16,374.0,5.55
000099.txt,Car,846.35,184.06,1241.0,374.0,6.4
000099.txt,Car,311.03,166.77,473.94,282.46,13.05
000099.txt,Car,476.22,175.94,570.51,241.53,19.85
000099.txt,Car,760.24,178.07,894.06,277.07,13.79
000099.txt,Car,749.22,179.42,821.9,244.62,19.13
000099.txt,Car,635.86,176.79,705.58,216.29,30.37
000099.txt,Van,968.2,150.98,1045.59,197.64,33.68
000099.txt,Van,906.67,152.6,973.7,193.83,34.91
000099.txt,Truck,806.52,140.24,852.48,179.7,70.39
000100.txt,Van,0.0,58.65,320.9,374.0,7.24
000100.txt,Cyclist,684.31,165.66,710.23,242.31,18.06
000100.txt,Pedestrian,359.32,182.26,400.32,285.85,11.35
000100.txt,Car,19.88,179.87,206.64,238.0,18.98
000101.txt,Car,569.23,177.21,636.06,240.52,19.47
000101.txt,Car,0.0,212.95,108.77,265.03,24.13
000101.txt,Car,106.33,200.09,220.09,253.47,25.25
000102.txt,Misc,1160.6,213.55,1241.0,255.15,16.25
000102.txt,Car,1186.52,176.9,1241.0,246.33,18.54
000102.txt,Car,1153.45,180.11,1221.87,212.55,34.96
000103.txt,Pedestrian,854.08,154.71,921.42,293.25,9.15
000104.txt,Car,818.86,180.55,882.54,238.79,22.62
000104.txt,Car,362.79,181.57,534.13,261.63,15.69
000104.txt,Car,610.21,182.8,684.9,222.12,28.61
000104.txt,Car,683.05,182.45,729.23,213.01,36.89
000104.txt,Car,713.77,181.24,750.23,207.65,44.59
000104.txt,Car,739.72,181.11,769.04,203.92,52.53
000104.txt,Car,855.51,185.67,886.83,212.32,43.98
000105.txt,Cyclist,975.61,98.87,1227.76,374.0,5.09
000105.txt,Car,531.98,177.67,554.49,195.35,64.63
000106.txt,Car,603.07,177.15,630.68,204.3,46.12
000106.txt,Car,0.0,202.63,204.81,291.54,13.8
000106.txt,Car,167.11,187.32,280.23,244.78,22.99
000106.txt,Car,449.26,183.72,483.4,204.87,53.19
000107.txt,Car,812.76,184.44,1241.0,374.0,4.31
000107.txt,Car,733.06,182.54,934.34,317.95,9.79
000107.txt,Car,683.98,178.38,792.24,258.45,15.74
000107.txt,Car,470.09,178.3,539.83,233.3,22.89
000107.txt,Car,671.73,179.32,733.51,228.42,23.86
000107.txt,Car,650.51,179.32,692.59,214.58,31.83
000107.txt,Car,634.97,177.56,666.89,203.78,42.96
000107.txt,Misc,627.47,154.29,664.8,198.6,49.9
000108.txt,Car,568.94,172.64,674.17,273.99,13.49
